Date,,ch19,ch20
06-15,,28.73478198,30.67882833
06-16,,28.13333336,29.30135336
06-17,,27.96071121,31.17490513
06-18,,29.07198341,30.51674005
06-19,,29.98516052,30.26449182
06-20,,30.22140458,29.94910818
06-21,,30.26035059,29.44783433
06-22,,30.04828988,27.73715172
06-23,,28.62739356,27.1565359
06-24,,27.83741671,29.45190067
06-25,,27.97830485,29.82866641
06-26,,28.09029737,29.38478406
06-27,,28.86588515,25.85579536
06-28,,29.45724075,27.53453856
06-29,,29.45180024,29.24804064
06-30,,28.76364978,29.63478869
07-01,,26.95342092,29.40388762
07-02,,27.77236325,30.0135654
07-03,,28.34732515,29.17937598
07-04,,28.61449253,28.74728592
07-05,,27.95636698,28.52511473
07-06,,27.08939084,27.38081427
07-07,,26.36828852,26.43703548
07-08,,26.87605375,28.93307153
07-09,,27.58808532,29.98662558
07-10,,27.10196967,29.8081856
07-11,,27.14611245,29.36587092
07-12,,27.43525513,28.81496684
07-13,,27.25574844,28.18190782
07-14,,26.87905201,27.1709009
07-15,,27.46582679,29.00900006
07-16,,28.63668446,29.94766004
07-17,,28.92317893,29.35413957
07-18,,29.56422635,29.0091251
07-19,,30.18055212,29.08911119
07-20,,29.93537829,28.64082087
07-21,,29.1434518,27.77639819
07-22,,29.41951739,28.81788049
07-23,,30.51779065,29.2363867
07-24,,31.31852191,29.63590736
07-25,,32.07742925,30.46760479
07-26,,32.25931836,30.98232216
07-27,,32.07439899,30.35089964
07-28,,31.41909481,28.48359975
07-29,,31.51970413,29.92894372
07-30,,32.07553531,30.64844589
08-01,,32.09065613,31.3956291
08-02,,31.28714122,31.6076347
08-03,,30.27722716,31.46614349
08-04,,29.18929892,29.39626177
08-05,,28.6261054,29.04788651
08-06,,28.87871602,31.77566015
08-07,,30.14050085,31.86155725
08-08,,30.71417697,32.06566437
08-09,,30.69873138,32.26515879
08-10,,30.72230199,32.05708773
08-11,,29.69887775,31.07777962
08-12,,27.52803489,30.79361058
08-13,,27.01684944,32.31710755
08-14,,28.69244889,32.8167342
08-15,,30.08795823,31.8314499
08-16,,30.23512834,31.46415715
08-17,,29.51048738,32.5039565
08-18,,29.30068202,32.10775195
08-19,,28.92523607,31.4519754
08-20,,29.25680051,33.50000646
08-21,,30.22936859,33.21753977
08-22,,30.57504431,31.82475772
08-23,,30.99544439,30.40345434
08-24,,31.39766806,30.03210678
08-25,,31.53049681,29.77150946
08-26,,30.33548092,29.71542329
08-27,,29.77519593,31.26696179
08-28,,30.87265503,31.93499724
08-29,,30.87643105,30.78011326
08-30,,29.75350987,29.92345878
09-01,,29.08659417,30.50472719
09-02,,28.65618393,30.25454149
09-03,,28.86134663,29.75056953
09-04,,28.43678548,30.91803602
09-05,,29.18427654,33.48669425
09-06,,29.29538071,32.55390357
09-07,,29.55996796,31.5158212
09-08,,30.24544877,31.29014078
09-09,,30.48179006,30.56312532
09-10,,30.40676812,30.55432345
09-11,,30.91434271,31.63582183
09-12,,31.34623325,31.47909077
09-13,,30.83678454,32.36326358
09-14,,30.50376131,31.15756026
09-15,,29.00306082,30.27425981
09-16,,27.91274868,29.97327467
09-17,,28.58742748,29.27980746
09-18,,28.7474503,30.90451972
09-19,,28.7585996,27.67722618
09-20,,28.26297803,28.12928915
09-21,,28.19624838,29.31248078
09-22,,28.49402399,29.09914528
09-23,,28.13913862,28.2210476
09-24,,27.15210903,28.83536797
09-25,,27.14921852,28.40177229
09-26,,28.03491917,27.03629984
09-27,,28.12232379,28.41874576
09-28,,27.82256349,27.68384971
09-29,,27.7826588,26.37853651
09-30,,27.57382163,27.11823536
10-01,,27.09463853,29.47101642
10-02,,26.14604321,28.62974941
10-03,,24.4154284,30.29798827
10-04,,23.60925422,30.99475598
10-05,,24.72302912,31.15756026
10-06,,26.09796127,30.27425981
10-07,,27.35813837,29.97327467
10-08,,27.8226421,29.27980746
10-09,,27.75118983,30.90451972
